label	occurrences
Mzk4	27
Mzk5	24
AbsTopIII	18
Mzk6	18
Mzk7	17
NodNon	15
IUAni1	12
IUAni2	12
AbsTopI	11
AbsTopII	11
Mzk8	11
SemiAn	11
Mzk9	10
CanLift	9
ClsIUT	8
ExpEst	7
ExtFam	7
LocAn	7
Mzk10	7
Mzk11	7
Mzk12	7
Mzk13	6
Mzk14	6
Mzk15	6
NTM	6
Mzk16	5
QuCnf	5
RNSPM	5
SemiAnbd	5
pTeich	5
AbsCsp	4
AbsTpII	4
AnPf	4
ArGT	4
CbGT	4
GeoAn	4
HMM	4
Hsh	4
MzTa	4
Pop	4
pGC	4
ArMCG	3
BogIUT	3
CbGC	3
CbGal	3
GSCsp	3
HMT	3
Mzk	3
Mzk17	3
NCBel	3
PrfGC	3
AbsHyp	2
AbsTpI	2
AnabTop	2
ArLgSch	2
CbCsp	2
CombCusp	2
CombGC	2
HM1	2
HM2	2
IUTeichI	2
LgSch	2
MnLgSch	2
Mzk18	2
Rpt2014	2
AbSc	1
AbsAnb	1
AbsSect	1
CbSC	1
CmbCusp	1
CorHyp	1
Dsc2018	1
ExHr21b	1
GCH	1
GSHP	1
GalSct	1
GlSol	1
HAT	1
Hgsh	1
Hsh2	1
Hur	1
IUTch	1
Ind	1
InpTch	1
Lpg2	1
MNT	1
MiTs1	1
MiTs2	1
MnLg	1
Moc1	1
Moc2	1
Moc3	1
Moc4	1
Mzk19	1
Mzk20	1
Mzk21	1
PSCom	1
Pop1	1
Pop2	1
PopBog	1
QC2016	1
QpGC	1
Quasicon	1
Rpt2013	1
Rpt2018	1
Rpt2023	1
RptIUT	1
STC	1
SdTm	1
Stix	1
manifestlynon-dilating	1
model	1
